X,Y,Risk
-2.26,-47.99,0.000000
-1.76,-47.99,0.000000
-1.26,-47.99,0.000000
-0.75,-47.99,0.000000
-0.25,-47.99,0.000000
0.25,-47.99,0.001383
0.75,-47.99,0.004150
1.26,-47.99,0.006915
1.76,-47.99,0.009678
2.26,-47.99,0.012437
2.76,-47.99,0.015193
3.27,-47.99,0.017943
3.77,-47.99,0.020688
4.27,-47.99,0.023426
4.77,-47.99,0.026156
5.28,-47.99,0.028878
5.78,-47.99,0.031591
6.28,-47.99,0.034294
6.78,-47.99,0.036985
7.29,-47.99,0.039665
7.79,-47.99,0.042333
8.29,-47.99,0.044987
8.79,-47.99,0.047628
9.30,-47.99,0.050253
9.80,-47.99,0.052864
10.30,-47.99,0.055458
10.80,-47.99,0.058036
11.31,-47.99,0.060596
11.81,-47.99,0.063139
12.31,-47.99,0.065663
12.81,-47.99,0.068168
13.32,-47.99,0.070653
13.82,-47.99,0.073119
14.32,-47.99,0.075564
14.82,-47.99,0.077988
15.33,-47.99,0.080390
15.83,-47.99,0.082771
16.33,-47.99,0.085130
16.83,-47.99,0.087466
17.34,-47.99,0.089779
17.84,-47.99,0.092070
18.34,-47.99,0.094337
18.84,-47.99,0.096580
19.35,-47.99,0.098799
19.85,-47.99,0.100995
20.35,-47.99,0.103166
20.85,-47.99,0.105313
21.36,-47.99,0.107435
21.86,-47.99,0.109533
22.36,-47.99,0.111606
22.86,-47.99,0.113654
23.37,-47.99,0.115677
23.87,-47.99,0.117676
24.37,-47.99,0.119649
24.87,-47.99,0.121598
25.38,-47.99,0.123522
25.88,-47.99,0.125421
26.38,-47.99,0.127295
26.88,-47.99,0.129145
27.39,-47.99,0.130970
27.89,-47.99,0.132770
28.39,-47.99,0.134547
28.89,-47.99,0.136298
29.40,-47.99,0.138026
29.90,-47.99,0.139730
30.40,-47.99,0.141409
